,ID,taxon,shortname,definition
3719,suc,889933,,"staphylococcus aureus subsp. aureus ect-r 2, methicillin-sensitive"
3720,sut,1006543,,"staphylococcus aureus subsp. aureus t0131, methicillin-resistant"
3721,suq,548473,,staphylococcus aureus subsp. aureus tch60
3722,suz,1123523,,"staphylococcus aureus subsp. aureus 11819-97, community-acquired methicillin-resistant"
3723,sud,1155084,,"staphylococcus aureus subsp. aureus 71193, methicillin-sensitive"
3724,sux,1074252,,"staphylococcus aureus subsp. aureus ho 5096 0412, methicillin-resistant"
3725,suw,663951,,"staphylococcus aureus subsp. aureus tw20, methicillin-resistant"
3726,sug,523796,,"staphylococcus aureus subsp. aureus st398, methicillin-resistant"
3727,suf,985006,,"staphylococcus aureus subsp. aureus lga251, methicillin-resistant"
3728,saua,585143,,staphylococcus aureus subsp. aureus 55/2053
3729,saue,1392476,,"staphylococcus aureus subsp. aureus 6850, methicillin-sensitive"
3730,saun,1193576,,"staphylococcus aureus subsp. aureus cn1, community-associated methicillin-resistant"
3731,saus,1194085,,"staphylococcus aureus subsp. aureus sa40, community-associated methicillin-resistant"
3732,sauu,1201010,,"staphylococcus aureus subsp. aureus sa957, community-associated methicillin-resistant"
3733,saug,1368166,,"staphylococcus aureus subsp. aureus sa268, community-associated methicillin-resistant"
3734,sauz,1406863,,"staphylococcus aureus subsp. aureus z172, methicillin-resistant, vancomycin-intermediate resistance"
3735,saut,1074919,,"staphylococcus aureus subsp. aureus st228/10388, methicillin-resistant"
3736,sauj,1074919,,"staphylococcus aureus subsp. aureus st228/10497, methicillin-resistant"
3737,sauk,1074919,,"staphylococcus aureus subsp. aureus st228/15532, methicillin-resistant"
3738,sauq,1074919,,"staphylococcus aureus subsp. aureus st228/16035, methicillin-resistant"
3739,sauv,1074919,,"staphylococcus aureus subsp. aureus st228/18412, methicillin-resistant"
3740,sauw,1074919,,"staphylococcus aureus subsp. aureus st228/16125, methicillin-resistant"
3741,saux,1074919,,"staphylococcus aureus subsp. aureus st228/18341, methicillin-resistant"
3742,sauy,1074919,,"staphylococcus aureus subsp. aureus st228/18583, methicillin-resistant"
3743,sauf,1280,,staphylococcus aureus subsp. aureus fdaargos_5
3744,sab,273036,staab,"staphylococcus aureus rf122/et3-1, bovine mastitis-causing"
3745,suy,703339,,"staphylococcus aureus 04-02981, methicillin-resistant"
3746,saub,1229492,,"staphylococcus aureus 08ba02176, livestock-associated methicillin-resistant"
3747,saum,1305598,,"staphylococcus aureus m1, methicillin-resistant"
3748,sauc,1323661,,"staphylococcus aureus ca-347, methicillin-resistant"
3749,saur,1321369,,"staphylococcus aureus bmb9393, methicillin-resistant"
3750,saui,1458279,,"staphylococcus aureus usa300-ismms1, methicillin-resistant"
3751,saud,1280,,staphylococcus aureus 502a
3752,sams,1280,,staphylococcus aureus ms4
3753,suh,985002,,staphylococcus argenteus mshr1132
3754,ser,176279,staeq,"staphylococcus epidermidis rp62a, methicillin-resistant"
3755,sep,176280,staes,staphylococcus epidermidis atcc 12228
3756,sepp,1449752,,staphylococcus epidermidis pm221
3757,seps,1282,,staphylococcus epidermidis sei
3758,sha,279808,stahj,staphylococcus haemolyticus jcsc1435
3759,shh,1283,,staphylococcus haemolyticus sh29/312/l2
3760,ssp,342451,stas1,staphylococcus saprophyticus subsp. saprophyticus atcc 15305
3761,sca,396513,staca,staphylococcus carnosus subsp. carnosus tm300
3762,slg,698737,,staphylococcus lugdunensis hku09-01
3763,sln,1034809,,staphylococcus lugdunensis n920143
3764,ssd,937773,,staphylococcus pseudintermedius hku10-03
3765,sdt,984892,,staphylococcus pseudintermedius ed99
3766,swa,1194526,,staphylococcus warneri sg1
3767,spas,1276282,,staphylococcus pasteuri sp1
3768,sxy,1288,,staphylococcus xylosus hkuopl8
3769,sxl,1288,,staphylococcus xylosus smq-121
3770,sxo,1288,,staphylococcus xylosus c2a
3771,shu,1284,,staphylococcus hyicus atcc 11249
3772,scap,72758,,staphylococcus capitis subsp. capitis ayp1020
3773,ssch,1295,,staphylococcus schleiferi 1360-13
3774,sscz,1295,,staphylococcus schleiferi 2317-03
3775,sagq,985762,,staphylococcus agnetis 908
3776,seqo,246432,,staphylococcus equorum ks1039
3777,ssif,1286,,staphylococcus simulans fdaargos_124
3778,scv,70255,,staphylococcus condimenti dsm 11674
3779,spet,170573,,staphylococcus pettenkoferi fdaargos_288
3780,slz,155085,,staphylococcus lutrae atcc 700373
3781,scoh,29382,,staphylococcus cohnii snuds-2
3782,snl,214473,,staphylococcus nepalensis js1
3783,skl,29384,,staphylococcus kloosii atcc 43959
3784,sfq,46127,,staphylococcus felis atcc 49168
3785,shom,1290,,staphylococcus hominis fdaargos_575
3786,smus,1294,,staphylococcus muscae atcc 49910
3787,scar,29380,,staphylococcus caprae 26d
3788,sdp,53344,,staphylococcus delphini nctc12225
3789,schr,46126,,staphylococcus chromogenes 20b
3790,sarl,29378,,staphylococcus arlettae p2
3791,spic,70258,,staphylococcus piscifermentans nctc13836
3792,ssh,1654388,,staphylococcus schweitzeri nctc13712
3793,ssim,308354,,staphylococcus simiae nctc13838
3794,sscu,1296,,mammaliicoccus sciuri fdaargos_285
3795,sff,150056,,mammaliicoccus fleurettii fdaargos_682
3796,sste,643214,,mammaliicoccus stepanovicii nctc13839
3797,mlen,42858,,mammaliicoccus lentus h29
3798,mcl,458233,maccj,macrococcus caseolyticus jcsc5402
3799,mcak,1855823,,macrococcus canis km45013
3800,macr,1898474,,macrococcus sp. ime1552
3801,shv,407035,,salinicoccus halodurans h3b36
3802,sbac,1817405,,abyssicoccus albus s31 (auricoccus indicus s31)
3803,jea,946435,,jeotgalicoccus sp. atcc 8456
3804,lmo,169963,lismo,listeria monocytogenes egd-e (serotype 1/2a)
3805,lmn,653938,,listeria monocytogenes 08-5578 (serotype 1/2a)
3806,lmy,637381,,listeria monocytogenes 08-5923 (serotype 1/2a)
3807,lmt,393133,,listeria monocytogenes 10403s (serotype 1/2a)
3808,lmoc,882096,,listeria monocytogenes slcc5850 (serotype 1/2a)
3809,lmoe,1234141,,listeria monocytogenes la111 (serotype 1/2a)
3810,lmob,1234142,,listeria monocytogenes n53-1 (serotype 1/2a)
3811,lmod,1334565,,listeria monocytogenes egd (serotype 1/2a)
3812,lmow,1457187,,listeria monocytogenes wslc1001 (serotype 1/2a)
3813,lmoq,1288295,,listeria monocytogenes 6179 (serotype 1/2a)
3814,lmr,1437838,,listeria monocytogenes r479a (serotype 1/2a)
3815,lmom,1639,,listeria monocytogenes lm60 (serotype 1/2a)
3816,lmf,265669,lismf,listeria monocytogenes f2365 (serotype 4b)
3817,lmc,568819,lismc,listeria monocytogenes clip 80459 (serotype 4b)
3818,lmog,1230340,,listeria monocytogenes serotype 4b ll195
3819,lmp,1126011,,listeria monocytogenes 07pf0776 (serotype 4b)
3820,lmol,882094,,listeria monocytogenes l312 (serotype 4b)
3821,lmoj,930781,,listeria monocytogenes j1816 (serotype 4b)
3822,lmoz,930782,,listeria monocytogenes j1-220 (serotype 4b)
3823,lmox,1457188,,listeria monocytogenes wslc1042 (serotype 4b)
3824,lmh,552536,lismh,listeria monocytogenes hcc23 (serotype 4a)
3825,lmq,1030009,,listeria monocytogenes m7 (serotype 4a)
3826,lml,563174,,listeria monocytogenes l99 (serotype 4a)
3827,lmg,393126,,listeria monocytogenes fsl r2-561
3828,lms,393127,,listeria monocytogenes finland 1998
3829,lmj,393130,,listeria monocytogenes j0161
3830,lmw,932919,,listeria monocytogenes slcc2755 (serotype 1/2b)
3831,lmx,932920,,listeria monocytogenes slcc2372 (serotype 1/2c)
3832,lmz,863767,,listeria monocytogenes serotype 7 slcc2482
3833,lmon,882097,,listeria monocytogenes slcc2376 (serotype 4c)
3834,lmos,879090,,listeria monocytogenes slcc7179 (serotype 3a)
3835,lmoo,879088,,listeria monocytogenes slcc2378 (serotype 4e)
3836,lmoy,882020,,listeria monocytogenes slcc2479 (serotype 3c)
3837,lmot,879089,,listeria monocytogenes slcc2540 (serotype 3b)
3838,lmoa,882095,,listeria monocytogenes atcc 19117 (serotype 4d)
3839,lmok,1639,,listeria monocytogenes ne dc2014
3840,lmv,1639,,listeria monocytogenes cfsan006122
3841,lin,272626,lisin,listeria innocua clip11262 (serotype 6a)
3842,lwe,386043,lisw6,listeria welshimeri serovar 6b slcc5334
3843,lsg,683837,,listeria seeligeri serovar 1/2b slcc3954
3844,liv,881621,,listeria ivanovii subsp. ivanovii pam 55
3845,lii,202751,,listeria ivanovii subsp. ivanovii wslc 3010
3846,liw,1457190,,listeria ivanovii wslc3009
3847,lia,202752,,listeria ivanovii subsp. londoniensis wslc 30167
3848,lio,202752,,listeria ivanovii subsp. londoniensis wslc 30151
3849,lwi,1006155,,listeria weihenstephanensis ws 4560
3850,lgz,1641,,listeria grayi nctc 10812
3851,bths,2756,,brochothrix thermosphacta bi
3852,esi,262543,exis2,exiguobacterium sibiricum 255-15
3853,eat,360911,exisa,exiguobacterium sp. at1b
3854,ean,1087448,,exiguobacterium antarcticum b7
3855,exm,1399115,,exiguobacterium sp. mh3
3856,exu,1849031,,exiguobacterium sp. u13-1
3857,got,1785995,,gemella sp. oral taxon 928
3858,gmo,29391,,gemella morbillorum nctc11323
3859,geq,2040624,,gemella sp. nd 6198
3860,gsa,84135,,gemella sanguinis fdaargos_742
3861,gha,1379,,gemella haemolysans nctc10459
3862,bbe,358681,brebn,brevibacillus brevis nbrc 100599
3863,blr,1042163,,brevibacillus laterosporus lmg 15441
3864,bfm,54913,,brevibacillus formosus nf2
3865,bagr,51101,,brevibacillus agri dsm 6348
3866,brw,2683193,,brevibacillus sp. 7wma2
3867,pjd,324057,,paenibacillus sp. jdr-2
3868,gym,481743,,paenibacillus sp. y412mc10
3869,ppy,349520,,paenibacillus polymyxa e681
3870,ppm,886882,,paenibacillus polymyxa sc2
3871,ppo,1052684,,paenibacillus polymyxa m1
3872,ppol,1429244,,paenibacillus polymyxa cr1
3873,ppq,1413214,,paenibacillus polymyxa sqr-21
3874,ppoy,1406,,paenibacillus polymyxa sb3-1
3875,pms,1036673,,paenibacillus mucilaginosus knp414
3876,pmq,1116391,,paenibacillus mucilaginosus 3016
3877,pmw,997761,,paenibacillus mucilaginosus k02
3878,pta,985665,,paenibacillus terrae hpl-003
3879,plv,697284,,paenibacillus larvae subsp. larvae dsm 25430
3880,psab,1268072,,paenibacillus sabinae t27
3881,pdu,44251,,paenibacillus durus dsm 1735
3882,pbd,160799,,paenibacillus borealis dsm 13188
3883,pgm,189425,,paenibacillus graminis dsm 15220
3884,pod,189426,,paenibacillus odorifer dsm 15391
3885,paen,1536769,,paenibacillus sp. fsl p4-0081
3886,paef,1536770,,paenibacillus sp. fsl r5-0345
3887,paeq,1536771,,paenibacillus sp. fsl r5-0912
3888,pste,169760,,paenibacillus stellifer dsm 14472
3889,paea,1536772,,paenibacillus sp. fsl r7-0273
3890,paee,1536773,,paenibacillus sp. fsl r7-0331
3891,paeh,1536774,,paenibacillus sp. fsl h7-0357
3892,paej,1536775,,paenibacillus sp. fsl h7-0737
3893,pbj,1126833,,paenibacillus beijingensis dsm 24997
3894,pih,1566358,,paenibacillus sp. ihbb 10380
3895,pri,1073571,,paenibacillus riograndensis sbr5
3896,ppeo,59893,,paenibacillus peoriae hs311
3897,pnp,162209,,paenibacillus naphthalenovorans 32o-y
3898,pow,1695218,,paenibacillus sp. 32o-w
3899,pbv,1616788,,paenibacillus bovis bd3526
3900,pxl,528191,,paenibacillus xylanexedens pamc 22703
3901,pyg,1462996,,paenibacillus yonginensis dcy84
3902,pswu,1178515,,paenibacillus swuensis dy6
3903,pdh,414771,,paenibacillus donghaensis kctc 13049
3904,pib,1870820,,paenibacillus ihbetae ihbb 9852
3905,pcx,1763538,,paenibacillus crassostreae lpb0068
3906,pkb,172713,,paenibacillus kribbensis am49
3907,paih,867076,,paenibacillus sp. ihb b 3084
3908,pvo,715225,,paenibacillus vortex v453
3909,plw,1401,,paenibacillus lautus e7593-69
3910,plen,1338368,,paenibacillus lentus dsm 25539
3911,ppsc,1778678,,paenibacillus psychroresistens ml311-t8
3912,plut,2707005,,paenibacillus lutimineralis mblb1234
3913,palb,2495582,,paenibacillus albus 18jy67-1
3914,pchi,79263,,paenibacillus chitinolyticus kccm 41400
3915,pbk,1712516,,paenibacillus baekrokdamisoli kctc 33723
3916,pprt,2509456,,paenibacillus protaetiae fw100m-2
3917,pbac,198119,,paenibacillus barcinonensis kacc11450
3918,prz,2704463,,paenibacillus rhizovicinus 14171r-81
3919,plyc,2704462,,paenibacillus lycopersici 12200r-189
3920,tco,717605,,thermobacillus composti kwc4
3921,anx,1450761,,aneurinibacillus sp. xh2
3922,asoc,1500254,,aneurinibacillus soli cb4
3923,coh,2674991,,cohnella candidum 18jy8-7
3924,cohn,2507935,,cohnella abietis hs21
3925,saca,2583377,,saccharibacillus brassicae atsa2
3926,aac,521098,,alicyclobacillus acidocaldarius subsp. acidocaldarius dsm 446
3927,aad,1048834,,alicyclobacillus acidocaldarius subsp. acidocaldarius tc-4-1
3928,bts,562970,,kyrpidia tusciae dsm 2912
3929,kyr,2055160,,kyrpidia spormannii ea-1
3930,tum,1903704,,tumebacillus avium ar23208
3931,tab,1214604,,tumebacillus algifaecis thmbr28
3932,eff,2743772,,effusibacillus sp. skt53
3933,siv,1002809,,solibacillus silvestris stlb046
3934,ssil,76853,,solibacillus silvestris dsm 12223
3935,sob,2048654,,solibacillus sp. r5-41
3936,pln,1526927,,planococcus sp. pamc 21323
3937,pku,1374,,planococcus kocurii atcc 43650
3938,prt,200991,,planococcus rifietoensis m8
3939,pll,1302659,,planococcus versutus l10.15
3940,pana,1185653,,planococcus antarcticus dsm 14505
3941,pdg,414778,,planococcus donghaensis dsm 22276
3942,phc,1215089,,planococcus halocryophilus dsm 24743
3943,pmar,2213202,,planococcus sp. y42
3944,ppla,1038856,,planococcus plakortidis dsm 23997
3945,pfae,1598147,,planococcus faecalis aj003
3946,plx,2058136,,planococcus sp. mb-3u-03
3947,pmat,192421,,planococcus maritimus dsm 17275
3948,pdec,1176255,,planococcus dechangensis xj11
3949,jeo,1508404,,jeotgalibacillus malaysiensis d5
3950,kur,1750719,,kurthia sp. 11kri321
3951,kzo,1650,,kurthia zopfii nctc404
3952,spsy,1476,,sporosarcina psychrophila dsm 6497
3953,spor,1930764,,sporosarcina sp. p33
3954,spop,1930546,,sporosarcina sp. p37
3955,sure,1571,,sporosarcina ureae p32a
3956,spos,2283194,,sporosarcina sp. pts2304
3957,spae,1474,,sporosarcina pasteurii bncc 337394
3958,rst,241244,,rummeliibacillus stabekisii pp9
3959,paek,2320858,,paenisporosarcina sp. k2r23-3
3960,panc,417367,,paenisporosarcina antarctica cgmcc 1.6503
3961,pgq,459472,,planomicrobium glaciei 46093
3962,play,2213011,,planomicrobium sp. y50
3963,vij,2779527,,viridibacillus sp. jnucc-6
3964,ntr,1471761,,novibacillus thermophilus sg-1
3965,lfb,37482,,laceyella sacchari fbkl4.010
3966,tvu,2026,,thermoactinomyces vulgaris cdf
3967,kpul,1380685,,kroppenstedtia pulmonis w9323
3968,keb,714067,,kroppenstedtia eburnea dsm 45196
3969,lla,272623,lacla,lactococcus lactis subsp. lactis il1403
3970,llk,684738,,lactococcus lactis subsp. lactis kf147
3971,llt,929102,,lactococcus lactis subsp. lactis cv56
3972,lls,1046624,,lactococcus lactis subsp. lactis io-1
3973,lld,1399116,,lactococcus lactis subsp. lactis klds 4.0325
3974,llx,1117941,,lactococcus lactis subsp. lactis ncdo 2118
3975,llm,416870,laclm,lactococcus lactis subsp. cremoris mg1363
3976,llc,272622,lacls,lactococcus lactis subsp. cremoris sk11
3977,llr,1104322,,lactococcus lactis subsp. cremoris a76
3978,lln,746361,,lactococcus lactis subsp. cremoris nz9000
3979,lli,1111678,,lactococcus lactis subsp. cremoris uc509.9
3980,llw,1295826,,lactococcus lactis subsp. cremoris kw2
3981,llj,1358,,lactococcus lactis ai06
3982,lgr,420889,,lactococcus garvieae atcc 49156
3983,lgv,420890,,lactococcus garvieae lg2
3984,lpk,297352,,lactococcus piscium mkfs47
3985,lrn,1366,,lactococcus raffinolactis wikim0068
3986,lact,2419773,,lactococcus allomyrinae 1jspr-7
3987,lack,2592653,,lactococcus sp. kacc 19320
3988,spy,160490,strp1,streptococcus pyogenes m1 gas (serotype m1)
3989,spz,293653,strp1,streptococcus pyogenes mgas5005 (serotype m1)
3990,spym,1207470,,streptococcus pyogenes m1 476 (serotype m1)
3991,spya,1235829,,streptococcus pyogenes a20 (serotype m1)
3992,spm,186103,strp8,streptococcus pyogenes mgas8232 (serotype m18)
3993,spg,198466,strp3,streptococcus pyogenes mgas315 (serotype m3)
3994,sps,193567,strp3,streptococcus pyogenes ssi-1 (serotype m3)
3995,sph,370552,strpd,streptococcus pyogenes mgas10270 (serotype m2)
3996,spi,370554,strpf,streptococcus pyogenes mgas10750 (serotype m4)
3997,spj,370553,strpb,streptococcus pyogenes mgas2096 (serotype m12)
3998,spk,370551,strpc,streptococcus pyogenes mgas9429 (serotype m12)
3999,spf,160491,strpg,streptococcus pyogenes manfredo (serotype m5)
4000,spa,286636,strp6,streptococcus pyogenes mgas10394 (serotype m6)
4001,spb,319701,strpm,streptococcus pyogenes mgas6180 (serotype m28)
4002,stg,798300,,streptococcus pyogenes mgas15252 (serotype m59)
4003,stx,1010840,,streptococcus pyogenes mgas1882 (serotype m59)
4004,soz,471876,strpz,streptococcus pyogenes nz131 (serotype m49)
4005,stz,487215,,streptococcus pyogenes alab49 (serotype m53)
4006,spyh,1336746,,streptococcus pyogenes hsc5 (serotype m14)
4007,spyo,1440772,,streptococcus pyogenes stab901 (serotype m44)
4008,spn,170187,strpn,streptococcus pneumoniae tigr4 (virulent serotype 4)
4009,spd,373153,strp2,streptococcus pneumoniae d39 (virulent serotype 2)
4010,spr,171101,strr6,streptococcus pneumoniae r6 (avirulent serotype 2) (laboratory-adapted d39 derivative)
4011,spw,516950,strps,streptococcus pneumoniae cgsp14 (serotype 14)
4012,sjj,488222,strzj,streptococcus pneumoniae jja (serotype 14)
4013,snv,869216,,streptococcus pneumoniae inv200 (serotype 14)
4014,spx,512566,strp4,streptococcus pneumoniae g54 (serotype 19f)
4015,snt,487213,strzt,streptococcus pneumoniae taiwan19f-14 (serotype 19f)
4016,snd,1130804,,streptococcus pneumoniae st556 (serotype 19f)
4017,spnn,1408179,,streptococcus pneumoniae a026 (serotype 19f)
4018,sne,561276,strpj,streptococcus pneumoniae atcc 700669 (serotype 23f st81 lineage)
4019,spv,487214,strpi,streptococcus pneumoniae hungary19a-6 (serotype 19a)
4020,snc,525381,,streptococcus pneumoniae tch8431/19a (serotype 19a)
4021,snm,488221,strp7,streptococcus pneumoniae 70585 (serotype 5)
4022,spp,488223,strzp,streptococcus pneumoniae p1031 (serotype 1)
4023,sni,869269,,streptococcus pneumoniae inv104 (serotype 1)
4024,spng,697283,,streptococcus pneumoniae gampni0373 (virulent serotype 1)
4025,snb,189423,,streptococcus pneumoniae 670-6b (serotype 6b)
4026,snp,574093,,streptococcus pneumoniae ap200 (serotype 11a)
4027,snx,869215,,streptococcus pneumoniae oxc141 (serotype 3)
4028,snu,869309,,streptococcus pneumoniae spna45 (serotype 3)
4029,spne,869303,,streptococcus pneumoniae spn034156 (serotype 3)
4030,spnu,869304,,streptococcus pneumoniae spn034183 (serotype 3)
4031,spnm,869306,,streptococcus pneumoniae spn994038 (serotype 3)
4032,spno,869307,,streptococcus pneumoniae spn994039 (serotype 3)
4033,sag,208435,stra5,streptococcus agalactiae 2603 (serotype v)
4034,san,211110,stra3,streptococcus agalactiae nem316 (serotype iii)
4035,sak,205921,stra1,streptococcus agalactiae a909 (serotype ia)
4036,sgc,1203670,,streptococcus agalactiae gd201008-001 (serotype ia)
4037,sags,1311,,streptococcus agalactiae sa20 (streptococcus agalactiae sa20-06)
4038,sagl,1261567,,streptococcus agalactiae 2-22 (serotype ib)
4039,sagm,1309806,,streptococcus agalactiae 09mas018883
4040,sagi,1309807,,streptococcus agalactiae ilri005
4041,sagr,1318615,,streptococcus agalactiae ilri112
4042,sagp,1417990,,streptococcus agalactiae 138p
4043,sagc,1311,,streptococcus agalactiae 138spar
4044,sagt,342616,,streptococcus agalactiae coh1
4045,sage,1311,,streptococcus agalactiae ngbs061
4046,sagg,1311,,streptococcus agalactiae ngbs572
4047,sagn,1427374,,streptococcus agalactiae cnctc 10/84
4048,smu,210007,strmu,streptococcus mutans ua159 (serotype c)
4049,smc,511691,,streptococcus mutans nn2025 (serotype c)
4050,smut,1198676,,streptococcus mutans gs-5 (serotype c)
4051,smj,1155071,,streptococcus mutans lj23 (serotype k)
4052,smua,1437447,,streptococcus mutans ua159-fr
4053,stc,299768,strt1,streptococcus thermophilus cnrz1066
4054,stl,264199,strt2,streptococcus thermophilus lmg 18311
4055,ste,322159,strtd,streptococcus thermophilus lmd-9
4056,stn,767463,,streptococcus thermophilus nd03
4057,stu,1051074,,streptococcus thermophilus jim 8232
4058,stw,1187956,,streptococcus thermophilus mn-zlw-002
4059,sthe,1408178,,streptococcus thermophilus ascc 1275
4060,sths,1308,,streptococcus thermophilus s9
4061,ssa,388919,strsv,streptococcus sanguinis sk36
4062,ssb,568814,strsu,streptococcus suis bm407 (serotype 2)
4063,ssu,391295,strsy,streptococcus suis 05zyh33 (serotype 2)
4064,ssv,391296,strs2,streptococcus suis 98hah33 (serotype 2)
4065,ssi,218494,strsu,streptococcus suis p1/7 (serotype 2)
4066,sss,568813,strsu,streptococcus suis sc84 (serotype 2)
4067,ssf,993512,,streptococcus suis a7 (serotype 2)
4068,ssw,423211,,streptococcus suis gz1 (serotype 2)
4069,sup,1184252,,streptococcus suis s735 (serotype 2)
4070,ssus,1246365,,streptococcus suis sc070731 (serotype 2)
4071,sst,1007064,,streptococcus suis st3 (serotype 3)
4072,ssuy,1380773,,streptococcus suis yb51 (serotype 3)
4073,ssk,1004952,,streptococcus suis d12 (serotype 9)
4074,ssq,1005042,,streptococcus suis d9 (serotype 7)
4075,sui,945704,,streptococcus suis js14 (serotype 14)
4076,suo,1005041,,streptococcus suis ss12 (serotype 1/2)
4077,srp,1004951,,streptococcus suis st1 (serotype 1)
4078,ssut,1276647,,streptococcus suis tl13 (serotype 16)
4079,ssui,1340847,,streptococcus suis t15
4080,sgo,467705,strgc,streptococcus gordonii challis ch1
4081,sez,552526,strem,streptococcus equi subsp. zooepidemicus mgcs10565
4082,seq,40041,strsz,streptococcus equi subsp. zooepidemicus h70
4083,sezo,1051072,,streptococcus equi subsp. zooepidemicus atcc 35246
4084,sequ,1403449,,streptococcus equi subsp. zooepidemicus cy
4085,seu,553482,stre4,streptococcus equi subsp. equi 4047
4086,sub,218495,strub,streptococcus uberis 0140j
4087,sds,486410,streq,streptococcus dysgalactiae subsp. equisimilis ggs_124
4088,sdg,663954,,streptococcus dysgalactiae subsp. equisimilis atcc 12394
4089,sda,617121,,streptococcus dysgalactiae subsp. equisimilis re378
4090,sdc,759913,,streptococcus dysgalactiae subsp. equisimilis ac-2713
4091,sdq,1247189,,streptococcus dysgalactiae subsp. equisimilis 167
4092,sga,637909,,streptococcus gallolyticus ucn34
4093,sgg,990317,,streptococcus gallolyticus subsp. gallolyticus atcc baa-2069
4094,sgt,981539,,streptococcus gallolyticus subsp. gallolyticus atcc 43143
4095,smb,365659,,streptococcus mitis b6
4096,sor,927666,,streptococcus oralis uo5
4097,stk,936154,,streptococcus parauberis kctc 11537
4098,stb,981540,,streptococcus pasteurianus atcc 43144
4099,scp,760570,,streptococcus parasanguinis atcc 15912
4100,scf,1114965,,streptococcus parasanguinis fw213
4101,ssr,1048332,,streptococcus salivarius cchss3
4102,stf,1046629,stre5,streptococcus salivarius 57.i
4103,stj,347253,,streptococcus salivarius jim8777
4104,strs,1304,,streptococcus salivarius nctc 8618
4105,ssah,1304,,streptococcus salivarius hsiss4
4106,std,1054460,,streptococcus pseudopneumoniae is7493
4107,smn,1116231,,streptococcus macedonicus aca-dc 198
4108,sif,1069533,,streptococcus infantarius subsp. infantarius cj18
4109,sie,591365,,streptococcus intermedius jth08
4110,sib,862967,,streptococcus intermedius b196
4111,siu,862966,,streptococcus intermedius c270
4112,sang,862970,,streptococcus anginosus c1051
4113,sanc,862971,,streptococcus anginosus c238
4114,sans,1328,,streptococcus anginosus sa1
4115,scg,862969,,streptococcus constellatus subsp. pharyngis c1050
4116,scon,696216,,streptococcus constellatus subsp. pharyngis c232
4117,scos,862968,,streptococcus constellatus subsp. pharyngis c818
4118,soi,1302863,,streptococcus cristatus as 1.3089 (streptococcus oligofermentans as 1.3089)
4119,sik,1318633,,streptococcus iniae sf1
4120,siq,1346,,streptococcus iniae iset0901
4121,sio,1346,,streptococcus iniae isno
4122,siz,1346,,streptococcus iniae sfst01-82
4123,slu,1076934,,streptococcus lutetiensis 033
4124,sig,1156431,,streptococcus sp. i-g2
4125,sip,1156433,,streptococcus sp. i-p16
4126,stv,1419814,,streptococcus sp. vt 162
4127,spat,1811193,,streptococcus pantholopis ta 26
4128,stra,1759399,,streptococcus sp. a12
4129,strn,1902136,,streptococcus sp. nps 308
4130,ssob,1310,,streptococcus sobrinus 10919
4131,srq,1917441,,streptococcus ruminantium gut187t
4132,seqi,1335,,streptococcus equinus fdaargos_251
4133,ski,2382163,,streptococcus koreensis js71
4134,spei,2490633,,streptococcus periodonticum kcom 2412
4135,srat,1341,,streptococcus ratti atcc 31377
4136,sgw,1433513,,streptococcus gwangjuense chdc b345
4137,splr,82348,,streptococcus pluranimalium th11417
4138,strg,1111760,,streptococcus troglodytae tku 31
4139,ljo,257314,lacjo,lactobacillus johnsonii ncc 533
4140,ljf,633699,,lactobacillus johnsonii fi9785
4141,ljh,909954,,lactobacillus johnsonii dpc 6026
4142,ljn,1408186,,lactobacillus johnsonii n6.2
4143,lac,272621,lacac,lactobacillus acidophilus ncfm
4144,lad,1314884,,lactobacillus acidophilus la-14
4145,laf,1579,,lactobacillus acidophilus fsi4
4146,ldb,390333,lacda,lactobacillus delbrueckii subsp. bulgaricus atcc 11842
4147,lbu,321956,lacdb,lactobacillus delbrueckii subsp. bulgaricus atcc baa-365
4148,lde,767455,,lactobacillus delbrueckii subsp. bulgaricus nd02
4149,ldl,353496,,lactobacillus delbrueckii subsp. bulgaricus 2038
4150,lga,324831,lacga,lactobacillus gasseri atcc 33323
4151,lhe,405566,lach4,lactobacillus helveticus dpc 4571
4152,lhl,767462,,lactobacillus helveticus h10
4153,lhr,880633,,lactobacillus helveticus r0052
4154,lhv,326425,,lactobacillus helveticus cnrz32
4155,lhh,767456,,lactobacillus helveticus h9
4156,lhd,1587,,lactobacillus helveticus klds1.8701
4157,lcr,748671,,lactobacillus crispatus st1
4158,lam,695560,,lactobacillus amylovorus grl 1112
4159,lai,1604,,lactobacillus amylovorus 30sc (lactobacillus acidophilus 30sc)
4160,lay,695562,,lactobacillus amylovorus grl1118
4161,lke,1033837,,lactobacillus kefiranofaciens zw3
4162,law,1545702,,lactobacillus sp. wkb8
4163,lae,1600,,lactobacillus acetotolerans nbrc 13120
4164,lgl,52242,,lactobacillus gallinarum hfd4
4165,lje,109790,,lactobacillus jensenii snuv360
4166,lamy,83683,,lactobacillus amylolyticus l6
4167,lpw,2107999,,lactobacillus paragasseri jcm 5343
4168,lkl,1218493,,lactobacillus kullabergensis esl0186
4169,lapi,303541,,lactobacillus apis esl0185
4170,lhs,1218494,,lactobacillus helsingborgensis esl0183
4171,lca,321967,lacc3,lactobacillus paracasei atcc 334
4172,lcz,1597,,lacticaseibacillus paracasei zhang (lactobacillus casei zhang)
4173,lcs,1597,,lactobacillus paracasei bd-ii (lactobacillus casei bd-ii)
4174,lce,1597,,lactobacillus paracasei lc2w (lactobacillus casei lc2w)
